station_name,ek
ＹＲＰ野比,11541580
あざみ野,17000820
いずみ中央,18002520
いずみ野,18002550
おゆみ野,57007290
お花茶屋,55507120
お台場海浜公園,7506860
かしわ台,17507980
くぬぎ山,53512810
こどもの国,22515110
さいたま新都心,43015620
さがみ野,17515950
すずかけ台,23020660
スポーツセンター,59520780
せんげん台,44021380
センター南,77021510
センター北,77021500
ソシオ流通センター,49039215
たまプラーザ,23023580
ちはら台,57024260
つきのわ,38553915
つきみ野,23024660
つくし野,23024700
つつじヶ丘,28024850
テレコムセンター,7525310
とうきょうスカイツリー,44028030
ときわ台,38525970
はるひ野,25075895
ひばりヶ丘,37033000
ひろせ野鳥の森,49053970
ふかや花園,49053908
ふじみ野,38534060
みずほ台,38536790
みつわ台,59537060
みどり台,56537130
みなとみらい,64554020
みなみ寄居,38584585
みのり台,53538120
めじろ台,29539130
ユーカリが丘,54540660
ゆめが丘,18040740
阿佐ヶ谷,57300640
愛甲石田,24500050
愛宕,49501010
旭,58500740
芦ヶ久保,38000860
芦花公園,28041450
綾瀬,3001370
安食,52500890
安針塚,9501750
安善,13501760
安房鴨川,62501670
安房小湊,61001680
安房天津,61001650
伊勢原,24502750
伊勢佐木長者町,17002680
伊奈中央,42503310
衣笠,12011700
井の頭公園,26503510
井荻,35001870
井細田,73563810
井土ヶ谷,9503190
井野,54503490
磯子,13002800
一ノ割,44003110
一橋学園,31532880
一之江,6503060
一本松,39003180
逸見,9534760
稲荷山公園,37003440
稲荷町,1003430
稲城,29003230
稲城長沼,18503240
稲村ヶ崎,15003400
稲田堤,18503300
稲毛,58003250
稲毛海岸,60003260
印西牧の原,56003970
印旛日本医大,56303990
羽貫,42531010
羽生,49031000
羽村,32531170
羽沢横浜国大,18384040
羽田空港第１・第２ターミナル,10075910
鵜の木,21004470
浦安,2504690
浦賀,9504680
浦和,758504710
浦和美園,64053845
運河,49504730
荏原中延,20005020
荏原町,21505030
曳舟,44532640
栄町,59515760
永田,49053905
永田町,5027210
永福町,26504780
越生,39006750
越谷,44014820
越谷レイクタウン,33540965
越中島,60004910
榎戸,58504990
猿田,58516610
奥沢,20506660
押上,54006820
横芝,58540880
横須賀,12040890
横須賀中央,9540900
横瀬,38040910
横田,63540920
横浜,64540940
王子,5005180
王子駅前,8505200
王子神谷,5005830
黄金町,9514570
