station_name,ek
東京,000525620
有楽町,000540650
新橋,000520110
浜松町,000531160
田町,000523500
高輪ゲートウェイ,000584570
品川,000517460
大崎,000505780
五反田,000514970
目黒,000539110
恵比寿,000505050
渋谷,000517640
原宿,000531250
代々木,000541280
新宿,000519670
新大久保,000519120
高田馬場,000522350
目白,000539120
池袋,000502060
大塚,000506000
巣鴨,000520550
駒込,000515330
田端,000523410
西日暮里,000529160
日暮里,000529650
鶯谷,000504160
上野,000504030
御徒町,000506530
秋葉原,000500480
神田,000510270
赤羽,012500380
東十条,012531960
王子,012505180
上中里,012509240
田端,012523410
西日暮里,012529160
日暮里,012529650
鶯谷,012504160
上野,012504030
御徒町,012506530
秋葉原,012500480
神田,012510270
東京,012525620
有楽町,012540650
新橋,012520110
浜松町,012531160
田町,012523500
高輪ゲートウェイ,012584570
品川,012517460
大井町,012505480
大森,012506360
蒲田,012508940
東京,016025620
新橋,016020110
品川,016017460
品川,050017460
新橋,050020110
東京,050025620
上野,050004030
日暮里,050029650
三河島,050036460
南千住,050037600
北千住,050011310
綾瀬,050001370
亀有,050009490
金町,050008700
矢野口,018540120
稲城長沼,018503240
南多摩,018537650
府中本町,018534360
分倍河原,018534560
西府,018542410
谷保,018540200
矢川,018539710
西国立,018528700
立川,018523100
成瀬,019028070
町田,019035780
相原,019000130
八王子みなみ野,019030670
片倉,019008370
八王子,019030660
東京,012025620
新橋,012020110
品川,012017460
西大井,012028400
東京,030525620
神田,030510270
御茶ノ水,030506970
水道橋,030520470
飯田橋,030501820
市ヶ谷,030502980
四ツ谷,030541160
信濃町,030517470
千駄ヶ谷,030521520
代々木,030541280
新宿,030519670
大久保,030505600
東中野,030532110
中野,030527280
高円寺,030513930
阿佐ヶ谷,030500640
荻窪,030506640
西荻窪,030528500
吉祥寺,030511640
三鷹,030536880
武蔵境,030538740
東小金井,030531920
武蔵小金井,030538710
国分寺,030514690
西国分寺,030528740
国立,030512780
立川,030523100
日野,030532940
豊田,030526550
八王子,030530660
西八王子,030529300
高尾,030522180
立川,032523100
西立川,032529020
東中神,032532090
中神,032526970
昭島,032500460
拝島,032530150
牛浜,032504240
福生,032534390
羽村,032531170
小作,032506800
河辺,032508860
東青梅,032531680
青梅,032505340
宮ノ平,032538310
日向和田,032532920
石神前,032502140
二俣尾,032534260
軍畑,032501940
川井,032509830
古里,032515490
拝島,033030150
熊川,033012850
東秋留,033031560
秋川,033000450
武蔵引田,033038830
武蔵増戸,033038850
武蔵五日市,033038690
府中本町,033534360
北府中,033511550
西国分寺,033528740
新小平,033519530
新秋津,033518980
八王子,034030660
北八王子,034011490
小宮,034015390
拝島,034030150
東福生,034032340
箱根ヶ崎,034030400
西大井,039528400
大崎,039505780
恵比寿,039505050
渋谷,039517640
新宿,039519670
池袋,039502060
板橋,039502890
十条,039518440
赤羽,039500380
北赤羽,039510870
浮間舟渡,039504140
東京,040525620
上野,040504030
尾久,040506650
赤羽,040500380
東京,043025620
上野,043004030
尾久,043006650
赤羽,043000380
小岩,057313900
新小岩,057319450
平井,057333190
亀戸,057309500
錦糸町,057312220
両国,057341380
浅草橋,057300680
秋葉原,057300480
御茶ノ水,057306970
水道橋,057320470
飯田橋,057301820
市ヶ谷,057302980
四ツ谷,057341160
信濃町,057317470
千駄ヶ谷,057321520
代々木,057341280
新宿,057319670
大久保,057305600
東中野,057332110
中野,057327280
高円寺,057313930
阿佐ヶ谷,057300640
荻窪,057306640
西荻窪,057328500
吉祥寺,057311640
三鷹,057336880
東京,058025620
新日本橋,058020080
馬喰町,058030330
錦糸町,058012220
新小岩,058019450
東京,060025620
八丁堀,060030820
越中島,060004910
潮見,060017090
新木場,060019330
葛西臨海公園,060007770
赤羽,758000380
池袋,758002060
新宿,758019670
渋谷,758017640
恵比寿,758005050
大崎,758005780
西大井,758028400
赤羽,758500380
池袋,758502060
新宿,758519670
渋谷,758517640
恵比寿,758505050
大崎,758505780
東京,015525620
品川,015517460
東京,041525620
上野,041504030
東京,042025620
上野,042004030
東京,043525620
上野,043504030
渋谷,001017640
表参道,001007240
外苑前,001007450
青山一丁目,001000250
赤坂見附,001000320
溜池山王,001023660
虎ノ門,001026650
新橋,001020110
銀座,001012200
京橋,001012060
日本橋,001029710
三越前,001036980
神田,001010270
末広町,001020510
上野広小路,001004070
上野,001004030
稲荷町,001003430
田原町,001023730
浅草,001000670
池袋,001502060
